index,NCT,Sponsor,Start_Year,Start_Month,Phase,Enrollment,Status,Condition
1818,NCT00161850,Pfizer,2002,2,Phase 2,615,Completed,"Encephalitis, Tick-Borne"
1819,NCT00161863,Pfizer,2002,9,Phase 3,0,Completed,"Encephalitis, Tick-Borne"
1820,NCT00161876,Pfizer,2002,5,Phase 3,3973,Completed,"Encephalitis, Tick-Borne"
1821,NCT00161889,Pfizer,2002,2,Phase 2,615,Completed,"Encephalitis, Tick-Borne"
1822,NCT00161928,Pfizer,2002,4,Phase 3,330,Completed,"Meningitis, Meningococcal"
1823,NCT00161954,Pfizer,2004,3,Phase 4,0,Completed,"Encephalitis, Tick-Borne"
1824,NCT00161967,Pfizer,2005,5,Phase 4,375,Completed,"Encephalitis, Tick-Borne"
1825,NCT00163046,Pfizer,2005,10,Phase 3,256,Completed,Sleep Initiation and Maintenance Disorders
1826,NCT00163059,Pfizer,2004,5,Phase 2,30,Completed,"Depressive Disorder, Major"
1827,NCT00163085,Pfizer,2005,5,Phase 2,12,Completed,Parkinson Disease
1828,NCT00163098,Pfizer,2004,12,Phase 1/Phase 2,136,Completed,"Pulmonary Disease, Chronic Obstructive"
1829,NCT00163111,Pfizer,1998,9,Phase 3,412,Completed,Candidiasis
1830,NCT00163150,Pfizer,2003,6,Phase 4,128,Completed,Hypercholesterolemia
1831,NCT00163163,Pfizer,2003,1,Phase 3,400,Completed,Hypercholesterolemia
1832,NCT00163189,Pfizer,2005,1,Phase 3,98,Completed,"Dwarfism, Pituitary"
1833,NCT00163202,Pfizer,2002,6,Phase 4,330,Completed,Arteriosclerosis
1834,NCT00163215,Pfizer,2005,1,Phase 3,46,Completed,Endocrine System Diseases
1835,NCT00163241,Pfizer,2004,6,Phase 3,666,Terminated,Osteoarthritis
1836,NCT00163540,Pfizer,2005,5,Phase 4,0,Completed,"Encephalitis, Tick-Borne"
1837,NCT00167921,Pfizer,2005,10,Phase 1,24,Completed,Atrophic Vaginitis
1838,NCT00167947,Pfizer,2005,1,Phase 3,150,Completed,Graft vs Host Disease
1839,NCT00168051,Pfizer,2005,4,Phase 4,0,Withdrawn,Hemophilia A
1840,NCT00174187,Pfizer,2000,9,Phase 3,30,Terminated,Endocrine System Diseases
1841,NCT00174200,Pfizer,2004,12,,20,Completed,Schizophrenia
1842,NCT00174226,Pfizer,2004,11,Phase 2,241,Completed,Attention Deficit Disorder with Hyperactivity
1843,NCT00174239,Pfizer,2004,7,Phase 4,220,Terminated,Parkinson Disease
1844,NCT00174252,Pfizer,2005,2,Phase 3,57,Completed,Fetal Growth Retardation
1845,NCT00174278,Pfizer,1997,2,Phase 3,14,Completed,Dwarfism
1846,NCT00174291,Pfizer,2002,3,Phase 3,21,Terminated,Endocrine System Diseases
1847,NCT00174304,Pfizer,2004,10,Phase 4,1120,Completed,Hypertension
1848,NCT00174317,Pfizer,2003,8,Phase 4,250,Completed,"Osteoarthritis, Hip"
1849,NCT00174330,Pfizer,2005,5,Phase 4,330,Completed,Hypertension
1850,NCT00174343,Pfizer,2001,11,Phase 2,46,Completed,Breast Neoplasms
1851,NCT00174356,Pfizer,2002,12,Phase 1,39,Completed,"Carcinoma, Non-Small-Cell Lung"
1852,NCT00174369,Pfizer,2005,11,Phase 2,34,Terminated,"Carcinoma, Non-Small-Cell Lung"
1853,NCT00174382,Pfizer,2005,6,Phase 3,149,Terminated,"Dementia, Vascular"
1854,NCT00174395,Pfizer,2005,3,Phase 4,220,Completed,Migraine Disorders
1855,NCT00174408,Pfizer,1990,3,Phase 3,110,Completed,Growth Disorders
1856,NCT00174421,Pfizer,2001,4,Phase 3,36,Completed,Growth Disorders
1857,NCT00174434,Pfizer,2005,9,Phase 1,22,Completed,Breast Neoplasms
1858,NCT00174447,Pfizer,2001,10,Phase 3,43,Completed,Schizophrenia
1859,NCT00174460,Pfizer,2005,8,Phase 2,33,Completed,Birth Weight
1860,NCT00174473,Pfizer,2003,6,Phase 1/Phase 2,49,Completed,Neutropenia
1861,NCT00174486,Pfizer,2005,2,Phase 2,300,Completed,Erectile Dysfunction
1862,NCT00174512,Pfizer,2005,3,Phase 1,36,Completed,Heart Diseases
1863,NCT00182845,Pfizer,2005,2,Phase 4,30,Completed,Postoperative Complications
1864,NCT00189332,Pfizer,2005,2,Phase 2,28,Completed,Melanoma
1865,NCT00195208,Pfizer,2005,6,Phase 3,97,Completed,Gastroesophageal Reflux
1866,NCT00195234,Pfizer,2004,12,Phase 1,60,Completed,HIV Infections
1867,NCT00195247,Pfizer,2005,5,Phase 1,45,Terminated,Neoplasms
1868,NCT00195273,Pfizer,2004,11,Phase 3,61,Completed,Graft vs Host Disease
1869,NCT00195312,Pfizer,2005,8,Phase 1,91,Terminated,HIV Infections
1870,NCT00195325,Pfizer,2005,8,Phase 1,45,Terminated,Neoplasms
1871,NCT00195351,Pfizer,2005,9,Phase 4,467,Completed,Cross Infection
1872,NCT00195429,Pfizer,2005,8,Phase 4,47,Completed,Graft vs Host Disease
1873,NCT00195468,Pfizer,2004,3,Phase 4,280,Completed,Graft vs Host Disease
1874,NCT00195481,Pfizer,2004,4,Phase 4,100,Completed,Graft vs Host Disease
1875,NCT00195494,Pfizer,2004,11,Phase 4,542,Completed,"Arthritis, Rheumatoid"
1876,NCT00195507,Pfizer,2004,12,Phase 4,720,Completed,Psoriasis
1877,NCT00195520,Pfizer,2004,12,Phase 4,100,Completed,Hot Flashes
1878,NCT00195559,Pfizer,2005,9,Phase 3,526,Completed,Premenstrual Syndrome
1879,NCT00195572,Pfizer,2002,5,Phase 3,200,Completed,Stomach Neoplasms
1880,NCT00195585,Pfizer,2002,10,Phase 3,650,Completed,Colonic Neoplasms
1881,NCT00195598,Pfizer,2005,1,Phase 3,70,Completed,Panic Disorder
1882,NCT00205777,Pfizer,2001,12,Phase 3,7609,Completed,Osteoporosis
1883,NCT00205803,Pfizer,2004,9,Phase 1/Phase 2,249,Completed,Pneumococcal Infections
1884,NCT00205816,Pfizer,2004,1,Phase 3,26,Completed,Bacterial Infections
1885,NCT00219544,Pfizer,2005,11,Phase 3,158,Completed,Neuralgia
1886,NCT00219557,Pfizer,2005,7,Phase 2,111,Completed,Pancreatic Neoplasms
1887,NCT00219570,Pfizer,2005,1,Phase 4,134,Completed,Acne Vulgaris
1888,NCT00219583,Pfizer,2004,8,Phase 2/Phase 3,460,Completed,Premature Ejaculation
1889,NCT00219596,Pfizer,2005,6,Phase 3,240,Completed,"Glaucoma, Open-Angle"
1890,NCT00219622,Pfizer,2004,5,Phase 2,300,Completed,"Pulmonary Disease, Chronic Obstructive"
1891,NCT00219635,Pfizer,2005,1,Phase 2/Phase 3,138,Completed,Premature Ejaculation
1892,NCT00220363,Pfizer,2004,1,Phase 3,0,Completed,Syndrome
1893,NCT00220376,Pfizer,2004,4,Phase 3,0,Completed,Syndrome
1894,NCT00220389,Pfizer,2003,6,Phase 2,0,Completed,"Urinary Bladder, Overactive"
1895,NCT00220402,Pfizer,2004,7,Phase 3,0,Completed,Syndrome
1896,NCT00225485,Pfizer,2003,12,Phase 3,100,Completed,Depression
1897,NCT00225511,Pfizer,2004,6,Phase 3,590,Completed,Depression
1898,NCT00225524,Pfizer,2004,9,Phase 3,150,Completed,Depression
1899,NCT00226811,Pfizer,2006,1,Phase 2,78,Completed,Stomach Neoplasms
1900,NCT00228397,Pfizer,2003,11,Phase 2,221,Completed,"Multiple Sclerosis, Relapsing-Remitting"
1901,NCT00228410,Pfizer,2002,11,Phase 3,503,Completed,"Skin Diseases, Infectious"
1902,NCT00230763,Pfizer,2005,9,Phase 3,396,Completed,Ocular Hypertension
1903,NCT00230776,Pfizer,2005,10,Phase 3,740,Completed,Fibromyalgia
1904,NCT00230789,Pfizer,2005,10,Phase 4,417,Completed,Urinary Incontinence
1905,NCT00230971,Pfizer,2005,10,Phase 4,473,Completed,Diverticulitis
1906,NCT00232141,Pfizer,2005,10,Phase 3,302,Completed,HIV Infections
1907,NCT00232154,Pfizer,2005,11,Phase 2,72,Completed,Sinusitis
1908,NCT00232180,Pfizer,2006,3,Phase 3,2743,Completed,Heart Failure
1909,NCT00235794,Pfizer,2004,1,,50,Completed,Prostatic Neoplasms
1910,NCT00238719,Pfizer,1999,12,Phase 3,293,Completed,"Phobia, Social"
1911,NCT00238732,Pfizer,2005,10,Phase 3,650,Completed,Atrophy
1912,NCT00238745,Pfizer,2003,8,Phase 2,375,Completed,"Osteoporosis, Postmenopausal"
1913,NCT00239109,Pfizer,2003,4,Phase 4,112,Completed,Schizophrenia
1914,NCT00239928,Pfizer,2005,9,Phase 2,61,Completed,Macular Degeneration
1915,NCT00240747,Pfizer,2000,6,Phase 3,0,Terminated,Gram-Positive Bacterial Infections
1916,NCT00242229,Pfizer,2004,10,,52,Completed,"Depressive Disorder, Major"
1917,NCT00242710,Pfizer,2005,9,Phase 3,1083,Completed,Endometrial Hyperplasia
1918,NCT00243295,Pfizer,2003,11,Phase 1,6,Completed,Osteoarthritis
1919,NCT00243503,Pfizer,2006,2,Phase 2,60,Completed,Breast Neoplasms
1920,NCT00243659,Pfizer,2006,4,Phase 3,30,Completed,Hemophilia A
1921,NCT00244426,Pfizer,2000,12,Phase 3,1372,Completed,Atrial Fibrillation
1922,NCT00244556,Pfizer,2003,3,Phase 4,300,Completed,"Arthritis, Rheumatoid"
1923,NCT00245258,Pfizer,2005,11,Phase 4,312,Completed,Erectile Dysfunction
1924,NCT00245596,Pfizer,2005,10,Phase 4,120,Completed,Erectile Dysfunction
1925,NCT00245609,Pfizer,2006,1,Phase 2,90,Completed,Anxiety Disorders
1926,NCT00245947,Pfizer,2004,4,Phase 1,22,Completed,Crohn Disease
1927,NCT00245960,Pfizer,2005,12,Phase 4,752,Completed,"Arthritis, Psoriatic"
1928,NCT00245973,Pfizer,2005,6,Phase 3,380,Completed,Depression
1929,NCT00246571,Pfizer,2006,1,Phase 2,217,Completed,Breast Neoplasms
1930,NCT00246610,Pfizer,2006,3,Phase 4,16,Completed,HIV Infections
1931,NCT00246623,Pfizer,2005,11,Phase 3,120,Completed,"Diabetes Mellitus, Type 2"
1932,NCT00247676,Pfizer,2006,2,Phase 2,37,Completed,Liver Neoplasms
1933,NCT00247962,Pfizer,2005,12,Phase 4,566,Completed,"Spondylitis, Ankylosing"
1934,NCT00248313,Pfizer,2000,7,Phase 3,470,Completed,Kidney Diseases
1935,NCT00249730,Pfizer,2005,10,Phase 4,510,Completed,Erectile Dysfunction
1936,NCT00252668,Pfizer,2004,6,Phase 4,300,Completed,"Arthritis, Rheumatoid"
1937,NCT00254540,Pfizer,2005,12,Phase 2,51,Completed,"Carcinoma, Renal Cell"
1938,NCT00254566,Pfizer,2006,2,Phase 3,398,Completed,"Bronchitis, Chronic"
1939,NCT00254696,Pfizer,2004,6,Phase 4,710,Completed,Bacterial Infections
1940,NCT00254709,Pfizer,2002,10,Phase 4,66,Completed,Renal Insufficiency
1941,NCT00254891,Pfizer,2005,11,Phase 3,828,Terminated,"Carcinoma, Non-Small-Cell Lung"
1942,NCT00254904,Pfizer,2005,11,Phase 3,839,Terminated,"Carcinoma, Non-Small-Cell Lung"
1943,NCT00256685,Pfizer,2004,9,Phase 3,568,Completed,Hot Flashes
1944,NCT00257166,Pfizer,2006,1,Phase 3,238,Completed,Bipolar Disorder
1945,NCT00257192,Pfizer,2006,4,Phase 3,284,Terminated,Schizophrenia
1946,NCT00259012,Pfizer,2005,11,Phase 3,67,Completed,Gastroesophageal Reflux
1947,NCT00261846,Pfizer,2006,1,Phase 2,571,Completed,Leukemia
1948,NCT00263874,Pfizer,2005,11,Phase 2,324,Terminated,"Pulmonary Disease, Chronic Obstructive"
1949,NCT00264875,Pfizer,2006,2,Phase 3,220,Completed,HIV Infections
1950,NCT00265317,Pfizer,2006,6,Phase 2,162,Completed,"Carcinoma, Non-Small-Cell Lung"
1951,NCT00265330,Pfizer,2006,3,Phase 3,169,Completed,Bipolar Disorder
1952,NCT00265382,Pfizer,2006,6,Phase 3,221,Terminated,Schizophrenia
1953,NCT00265551,Pfizer,2006,1,Phase 2,300,Completed,Schizophrenia
1954,NCT00266123,Pfizer,2004,3,Phase 4,420,Completed,Renal Insufficiency
1955,NCT00267254,Pfizer,2006,1,Phase 3,640,Completed,Hypercholesterolemia
1956,NCT00267267,Pfizer,2006,1,Phase 3,1784,Terminated,Hyperlipidemias
1957,NCT00267280,Pfizer,2006,1,Phase 3,640,Terminated,Hypercholesterolemia
1958,NCT00267748,Pfizer,2005,12,Phase 2,317,Completed,"Carcinoma, Renal Cell"
1959,NCT00272961,Pfizer,2006,1,Phase 2,60,Terminated,Hypertension
1960,NCT00273416,Pfizer,2006,1,Phase 2,32,Completed,Erectile Dysfunction
1961,NCT00273871,Pfizer,2002,1,Phase 3,190,Completed,Renal Insufficiency
1962,NCT00275197,Pfizer,2005,12,Phase 2,262,Completed,"Depressive Disorder, Major"
1963,NCT00275379,Pfizer,2006,8,,60,Terminated,"Cystitis, Interstitial"
1964,NCT00276107,Pfizer,2004,12,Phase 4,200,Completed,Pneumococcal Infections
1965,NCT00277238,Pfizer,2006,2,Phase 2,113,Completed,"Hepatitis, Chronic"
1966,NCT00277498,Pfizer,2005,12,Phase 3,528,Completed,"Glaucoma, Open-Angle"
1967,NCT00277810,Pfizer,2006,3,Phase 2/Phase 3,250,Completed,Alzheimer Disease
1968,NCT00277823,Pfizer,2006,2,Phase 3,480,Completed,"Depressive Disorder, Major"
1969,NCT00279448,Pfizer,2002,1,Phase 3,9779,Completed,Breast Neoplasms
1970,NCT00280059,Pfizer,2006,8,Phase 3,660,Completed,Epilepsy
1971,NCT00280085,Pfizer,2005,12,,29,Terminated,Diabetes Mellitus
1972,NCT00280566,Pfizer,2005,12,Phase 3,584,Completed,Bipolar Disorder
1973,NCT00282048,Pfizer,2006,3,Phase 2,62,Completed,Kidney Neoplasms
1974,NCT00282217,Pfizer,2006,8,Phase 4,100,Completed,Kidney Diseases
1975,NCT00282464,Pfizer,2006,2,Phase 3,392,Completed,Bipolar Disorder
1976,NCT00282919,Pfizer,2006,3,Phase 2,110,Completed,"Malaria, Falciparum"
1977,NCT00282932,Pfizer,2006,1,Phase 4,600,Completed,"Urinary Bladder, Overactive"
1978,NCT00282945,Pfizer,2006,1,,29,Terminated,Diabetes Mellitus
1979,NCT00282971,Pfizer,2006,3,Phase 3,354,Terminated,"Diabetes Mellitus, Type 2"
1980,NCT00282984,Pfizer,2006,2,Phase 3,714,Completed,Cardiovascular Diseases
1981,NCT00282997,Pfizer,2006,2,Phase 3,500,Completed,Fibromyalgia
1982,NCT00283842,Pfizer,2006,3,Phase 3,408,Terminated,Diabetic Neuropathies
1983,NCT00285012,Pfizer,2006,5,Phase 3,504,Completed,"Lung Diseases, Obstructive"
1984,NCT00287066,Pfizer,2006,2,Phase 3,22,Terminated,Diabetes Mellitus
1985,NCT00287183,Pfizer,2006,2,Phase 2,110,Completed,Diabetic Nephropathies
1986,NCT00288197,Pfizer,2006,1,Phase 4,77,Completed,Invasive Fungal Infections
1987,NCT00288639,Pfizer,2005,12,Phase 4,98,Completed,Seizures
1988,NCT00289991,Pfizer,2006,3,Phase 3,489,Completed,Infection
1989,NCT00290901,Pfizer,2006,3,Phase 4,754,Completed,Back Pain
1990,NCT00291577,Pfizer,2006,7,Phase 1,22,Completed,Breast Neoplasms
1991,NCT00292188,Pfizer,2006,1,Phase 4,255,Completed,Neuralgia
1992,NCT00294294,Pfizer,2005,5,Phase 4,300,Completed,Fever
1993,NCT00297687,Pfizer,2006,3,Phase 1,108,Completed,"Meningitis, Meningococcal"
1994,NCT00297973,Pfizer,2006,2,Phase 4,1442,Completed,Hypertension
1995,NCT00299494,Pfizer,2006,5,Phase 1/Phase 2,119,Completed,"Lymphoma, B-Cell"
1996,NCT00300378,Pfizer,2006,3,Phase 3,480,Completed,"Depressive Disorder, Major"
1997,NCT00300677,Pfizer,2007,3,Phase 4,12,Completed,Mycoses
1998,NCT00300755,Pfizer,2006,5,Phase 3,60,Completed,Gastroesophageal Reflux
1999,NCT00301223,Pfizer,2006,2,Phase 3,309,Completed,Neuralgia
2000,NCT00301262,Pfizer,2005,11,Phase 4,183,Completed,Erectile Dysfunction
2001,NCT00301431,Pfizer,2006,8,Phase 2/Phase 3,1050,Terminated,Fibromyalgia
2002,NCT00303498,Pfizer,2006,3,Phase 2,192,Completed,"Heart Failure, Diastolic"
2003,NCT00304447,Pfizer,2002,4,Phase 4,30,Completed,"Leukemia, Myeloid, Acute"
2004,NCT00306254,Pfizer,2006,3,Phase 2,1225,Completed,Venous Thrombosis
2005,NCT00308464,Pfizer,2006,7,Phase 2,136,Terminated,Endocrine System Diseases
2006,NCT00311311,Pfizer,2006,4,Phase 3,72,Terminated,Atherosclerosis
2007,NCT00312364,Pfizer,2005,12,Phase 2,322,Completed,Diabetes Complications
2008,NCT00312494,Pfizer,2006,4,Phase 3,680,Completed,Bipolar Disorder
2009,NCT00313768,Pfizer,2005,12,Phase 2,23,Terminated,"Carcinoma, Non-Small-Cell Lung"
2010,NCT00313781,Pfizer,2006,5,Phase 2,204,Completed,Prostatic Neoplasms
2011,NCT00313820,Pfizer,2006,8,Phase 4,220,Completed,Neuralgia
2012,NCT00314041,Pfizer,1997,6,Phase 2,240,Completed,"Meningitis, Meningococcal"
2013,NCT00314054,Pfizer,2006,5,Phase 1,27,Completed,Hepatitis C
2014,NCT00314938,Pfizer,2006,4,Phase 2,32,Terminated,Endocrine System Diseases
2015,NCT00314964,Pfizer,2006,8,Phase 2,527,Completed,Hot Flashes
2016,NCT00316459,Pfizer,2006,5,Phase 1,64,Completed,Long QT Syndrome
2017,NCT00318214,Pfizer,2006,6,Phase 2,16,Terminated,Diabetes Complications
2018,NCT00318500,Pfizer,2006,5,Phase 2,150,Completed,Dysmenorrhea
2019,NCT00318552,Pfizer,2002,1,Phase 4,160,Completed,Sepsis
2020,NCT00318994,Pfizer,2002,2,Phase 4,6,Completed,Pancreatitis
2021,NCT00319254,Pfizer,2006,5,Phase 2,75,Completed,Breast Neoplasms
2022,NCT00319501,Pfizer,2006,1,Phase 3,234,Completed,Seizures
2023,NCT00321308,Pfizer,2006,9,Phase 2,36,Terminated,"Carcinoma, Non-Small-Cell Lung"
2024,NCT00321815,Pfizer,2006,8,Phase 2,43,Completed,"Carcinoma, Non-Small-Cell Lung"
2025,NCT00322517,Pfizer,2006,4,Phase 2,90,Completed,Breast Neoplasms
2026,NCT00323297,Pfizer,2006,9,Phase 4,105,Completed,Hypertension
2027,NCT00324116,Pfizer,2006,7,Phase 4,81,Completed,Macular Degeneration
2028,NCT00326326,Pfizer,2006,7,Phase 2,84,Completed,Dyslipidemias
2029,NCT00327418,Pfizer,1997,1,Phase 4,2800,Completed,"Angina, Unstable"
2030,NCT00327470,Pfizer,2006,7,Phase 4,288,Terminated,Macular Degeneration
2031,NCT00327691,Pfizer,1998,4,Phase 4,8600,Completed,Cardiovascular Diseases
2032,NCT00329108,Pfizer,2006,11,Phase 4,29,Terminated,Bipolar Disorder
2033,NCT00329147,Pfizer,2006,5,Phase 3,20,Completed,Depression
2034,NCT00330785,Pfizer,2004,10,Phase 3,1250,Completed,Hypertension
2035,NCT00331175,Pfizer,2006,7,Phase 1,31,Completed,Overweight
2036,NCT00332761,Pfizer,2006,6,Phase 4,220,Completed,Dyslipidemias
2037,NCT00333034,Pfizer,2006,6,Phase 3,120,Completed,Psoriasis
2038,NCT00333866,Pfizer,2006,7,Phase 3,747,Completed,Fibromyalgia
2039,NCT00338884,Pfizer,2006,9,Phase 2,120,Completed,"Carcinoma, Renal Cell"
2040,NCT00339872,Pfizer,2006,2,Phase 1,0,Completed,Asthma
2041,NCT00343200,Pfizer,2006,7,Phase 4,371,Completed,Erectile Dysfunction
2042,NCT00343655,Pfizer,2007,1,Phase 3,160,Terminated,Cardiovascular Diseases
2043,NCT00346034,Pfizer,2006,12,Phase 3,357,Completed,Fibromyalgia
2044,NCT00346216,Pfizer,2006,10,Phase 4,24081,Completed,"Arthritis, Rheumatoid"
2045,NCT00346268,Pfizer,2006,12,Phase 4,105,Terminated,"Pain, Postoperative"
2046,NCT00348374,Pfizer,2006,6,Phase 3,191,Completed,Diabetes Mellitus
2047,NCT00348894,Pfizer,2006,7,Phase 2,136,Terminated,Diabetic Neuropathies
2048,NCT00351611,Pfizer,2006,7,Phase 4,284,Recruiting,"Epilepsies, Partial"
2049,NCT00355589,Pfizer,2006,7,Phase 3,0,Completed,Hypertension
2050,NCT00356421,Pfizer,2006,11,Phase 4,58,Terminated,"Diabetes Mellitus, Type 1"
2051,NCT00357825,Pfizer,2006,8,Phase 2,246,Completed,Fibromyalgia
2052,NCT00359151,Pfizer,2006,11,Phase 4,22,Terminated,Osteoarthritis
2053,NCT00359632,Pfizer,2008,11,Phase 3,34,Terminated,Optic Nerve Diseases
2054,NCT00359801,Pfizer,2006,7,Phase 4,1976,Completed,Diabetes Mellitus
2055,NCT00360100,Pfizer,2006,8,Phase 3,120,Completed,Otitis Media
2056,NCT00360295,Pfizer,2006,9,Phase 3,153,Completed,Pneumonia
2057,NCT00360464,Pfizer,2006,10,Phase 3,64,Completed,Bronchitis
2058,NCT00360607,Pfizer,2004,7,Phase 4,307,Completed,Infection
2059,NCT00362609,Pfizer,2006,7,Phase 3,59,Completed,Gastroesophageal Reflux
2060,NCT00364182,Pfizer,2007,5,Phase 3,50,Completed,Hemophilia B
2061,NCT00365300,Pfizer,2006,9,Phase 3,129,Completed,Gastroesophageal Reflux
2062,NCT00365924,Pfizer,2006,12,,20,Completed,Osteoporosis
2063,NCT00366171,Pfizer,2006,11,Phase 3,120,Completed,Schizophrenia
2064,NCT00366249,Pfizer,2007,1,Phase 3,1061,Completed,Bacterial Infections
2065,NCT00366327,Pfizer,2007,1,Phase 3,400,Terminated,Schizophrenia
2066,NCT00366483,Pfizer,2006,5,Phase 1,40,Completed,Alzheimer Disease
2067,NCT00366652,Pfizer,2006,9,Phase 3,20,Completed,Depression
2068,NCT00366704,Pfizer,2006,11,Phase 3,400,Terminated,Schizophrenia
2069,NCT00367120,Pfizer,2006,6,Phase 4,762,Completed,Sinusitis
2070,NCT00367445,Pfizer,2006,9,Phase 4,30,Completed,"Diabetes Mellitus, Type 2"
2071,NCT00367614,Pfizer,2007,1,Phase 3,20,Completed,Gastroesophageal Reflux
2072,NCT00367653,Pfizer,2006,11,Phase 3,397,Completed,Malaria
2073,NCT00367692,Pfizer,2006,9,Phase 1,12,Terminated,Scleritis
2074,NCT00367783,Pfizer,2006,6,Phase 2,100,Terminated,Obesity
2075,NCT00367887,Pfizer,2006,10,Phase 2,246,Completed,Hepatitis C
2076,NCT00368186,Pfizer,2001,5,Phase 4,51,Terminated,Pneumococcal Infections
2077,NCT00368537,Pfizer,2006,9,Phase 4,550,Completed,"Skin Diseases, Bacterial"
2078,NCT00368745,Pfizer,2006,9,Phase 3,108,Completed,Anxiety Disorders
2079,NCT00369343,Pfizer,2006,9,Phase 3,381,Completed,Depressive Disorder
2080,NCT00369382,Pfizer,2006,9,Phase 4,121,Completed,Renal Insufficiency
2081,NCT00370565,Pfizer,1999,6,Phase 3,345,Completed,"Diabetes Mellitus, Type 2"
2082,NCT00372424,Pfizer,2006,12,Phase 1,26,Completed,Breast Neoplasms
2083,NCT00372528,Pfizer,2007,3,Phase 3,21,Terminated,Seizures
2084,NCT00372567,Pfizer,2007,6,Phase 3,69,Terminated,Gastrointestinal Stromal Tumors
2085,NCT00372775,Pfizer,2007,3,Phase 2,66,Completed,Lung Neoplasms
2086,NCT00372996,Pfizer,2007,2,Phase 2,219,Terminated,Breast Neoplasms
2087,NCT00373113,Pfizer,2006,11,Phase 3,482,Terminated,Breast Neoplasms
2088,NCT00373256,Pfizer,2006,11,Phase 3,488,Completed,Breast Neoplasms
2089,NCT00373685,Pfizer,2006,10,Phase 4,8067,Completed,Osteoarthritis
2090,NCT00375674,Pfizer,2007,8,Phase 3,674,Completed,Kidney Neoplasms
2091,NCT00376168,Pfizer,2007,8,Phase 3,32,Completed,Gaucher Disease
2092,NCT00380224,Pfizer,2006,7,Phase 3,120,Completed,Schizophrenia
2093,NCT00380874,Pfizer,2007,1,Phase 4,64,Terminated,Colorectal Neoplasms
2094,NCT00380900,Pfizer,2006,7,Phase 1,0,Completed,Osteoarthritis
2095,NCT00380939,Pfizer,1999,4,Phase 4,600,Completed,Arteriosclerosis
2096,NCT00381095,Pfizer,2006,12,Phase 4,152,Terminated,Bone Neoplasms
2097,NCT00381251,Pfizer,2006,9,Phase 1,0,Completed,"Osteoporosis, Postmenopausal"
2098,NCT00383019,Pfizer,2006,11,Phase 3,289,Completed,Ocular Hypertension
2099,NCT00383188,Pfizer,2006,12,Phase 2,305,Completed,"Arthritis, Rheumatoid"
2100,NCT00383253,Pfizer,2006,10,,57,Completed,Obesity
2101,NCT00384033,Pfizer,2006,9,Phase 3,638,Completed,"Depressive Disorder, Major"
2102,NCT00384072,Pfizer,2006,5,Phase 3,500,Completed,Osteoporosis
2103,NCT00384358,Pfizer,2006,12,Phase 2,108,Completed,"Fractures, Bone"
2104,NCT00384852,Pfizer,2007,1,Phase 2,139,Completed,"Fractures, Bone"
2105,NCT00387686,Pfizer,2006,11,Phase 2/Phase 3,367,Terminated,Tibial Fractures
2106,NCT00389441,Pfizer,2006,12,Phase 2,52,Completed,Thyroid Neoplasms
2107,NCT00389519,Pfizer,2006,10,Phase 3,422,Terminated,Hypertension
2108,NCT00391027,Pfizer,2006,12,Phase 4,261,Completed,"Diabetes Mellitus, Type 2"
2109,NCT00391196,Pfizer,2006,11,Phase 3,975,Terminated,Obesity
2110,NCT00392080,Pfizer,2006,11,Phase 1,340,Completed,Osteoarthritis
2111,NCT00392223,Pfizer,2007,10,Phase 3,118,Terminated,Acne Vulgaris
2112,NCT00393471,Pfizer,2000,10,Phase 3,615,Completed,"Arthritis, Rheumatoid"
2113,NCT00393835,Pfizer,2006,11,Phase 3,99,Completed,Respiratory Tract Infections
2114,NCT00393939,Pfizer,2007,2,Phase 3,594,Completed,Breast Neoplasms
2115,NCT00394563,Pfizer,2006,3,Phase 2,450,Completed,Osteoarthritis
2116,NCT00394901,Pfizer,2006,9,Phase 3,372,Completed,"Neuralgia, Postherpetic"
2117,NCT00396097,Pfizer,2006,12,Phase 3,316,Completed,Dwarfism
2118,NCT00396955,Pfizer,2006,11,Phase 2,560,Terminated,Osteoarthritis
2119,NCT00397891,Pfizer,2006,10,Phase 1,80,Completed,Alzheimer Disease
2120,NCT00399490,Pfizer,2006,9,Phase 2,281,Completed,Osteoarthritis
2121,NCT00401726,Pfizer,2006,6,Phase 4,537,Completed,"Depressive Disorder, Major"
2122,NCT00402987,Pfizer,2006,11,Phase 3,269,Completed,Pharyngitis
2123,NCT00404495,Pfizer,2007,4,Phase 2,83,Completed,Glioma
2124,NCT00406237,Pfizer,2006,12,Phase 1,8,Completed,"Liver Cirrhosis, Biliary"
2125,NCT00406315,Pfizer,2006,11,Phase 4,255,Completed,Schizophrenia
2126,NCT00406640,Pfizer,2006,12,Phase 3,595,Completed,Depressive Disorder
2127,NCT00406952,Pfizer,2006,11,,165,Completed,"Depressive Disorder, Major"
2128,NCT00407511,Pfizer,2007,1,Phase 4,121,Completed,"Neuralgia, Postherpetic"
2129,NCT00407537,Pfizer,2007,3,Phase 4,1531,Completed,Hypertension
2130,NCT00407745,Pfizer,2007,1,Phase 3,220,Completed,Neuralgia
2131,NCT00407797,Pfizer,2007,3,Phase 4,136,Terminated,Seizures
2132,NCT00408954,Pfizer,2007,3,Phase 2,27,Completed,Prostatic Hyperplasia
2133,NCT00409175,Pfizer,2007,1,Phase 2/Phase 3,128,Completed,Amyloid Neuropathies
